title,genres,overview,cast,crew,movie_id
Cameraman Gangatho Rambabu,Political Drama,A TV reporter fights against corruption.,"Pawan Kalyan, Tamannaah",Puri Jagannadh,262
Attarintiki Daredi,Family Drama,A man reunites his estranged family.,"Pawan Kalyan, Samantha",Trivikram,263
Katamarayudu,Action Drama,A faction leader reforms for love.,"Pawan Kalyan, Shruti Hassan",Kishore Kumar Pardasani,264
Vakeel Saab,Courtroom Drama,A lawyer defends three women in a sensitive case.,"Pawan Kalyan, Shruti Hassan",Venu Sriram,265
Indra,Action Drama,A powerful man sacrifices for his people.,"Chiranjeevi, Sonali Bendre",B. Gopal,266
Tagore,Action Drama,A professor fights against corruption.,"Chiranjeevi, Shriya",VV Vinayak,267
Shankar Dada MBBS,Comedy Drama,A don pretends to be a doctor to fulfill his mother’s wish.,"Chiranjeevi, Sonali Bendre",Murugadoss,268
Shankar Dada Zindabad,Comedy Drama,A don reforms after meeting Gandhian ideals.,"Chiranjeevi, Karishma Kotak",Prabhu Deva,269
Stalin,Action Drama,A man inspires people to help one another.,"Chiranjeevi, Trisha",Murugadoss,270
Gang Leader,Action Comedy,A man leads widows to fight injustice.,"Chiranjeevi, Vijayashanti",Vijaya Bapineedu,271
Rowdy Alludu,Comedy,A man’s double role creates chaos.,"Chiranjeevi, Divya Bharathi",K. Raghavendra Rao,272
Mugguru Monagallu,Action Drama,Three brothers fight against villains.,"Chiranjeevi, Radhika",K. Raghavendra Rao,273
Annayya,Family Drama,A man sacrifices for his brothers’ happiness.,"Chiranjeevi, Soundarya",Muthyala Subbaiah,274
Khaidi,Action Thriller,A prisoner escapes and fights injustice.,"Chiranjeevi, Madhavi",A. Kodandarami Reddy,275
Chirutha,Action Drama,A young man seeks revenge for his parents’ death.,"Ram Charan, Neha Sharma",Puri Jagannadh,276
Magadheera,Fantasy Action,A reincarnation love revenge drama.,"Ram Charan, Kajal",Rajamouli,277
Orange,Romantic Drama,A man questions the concept of eternal love.,"Ram Charan, Genelia",Bhaskar,278
Racha,Action Drama,A gambler fights against injustice.,"Ram Charan, Tamannaah",Sampath Nandi,279
Naayak,Action Comedy,A man fights against a corrupt politician.,"Ram Charan, Kajal",VV Vinayak,280
Yevadu,Action Thriller,A man undergoes a face transplant to avenge his enemies.,"Ram Charan, Shruti Hassan",Vamsi Paidipally,281
Govindudu Andarivadele,Family Drama,A man reunites his estranged family.,"Ram Charan, Kajal",Krishna Vamsi,282
Bruce Lee: The Fighter,Action Drama,A stuntman saves his family from criminals.,"Ram Charan, Rakul",Sreenu Vaitla,283
Dhruva,Action Thriller,A cop battles a brilliant criminal mastermind.,"Ram Charan, Rakul",Surender Reddy,284
Rangasthalam,Period Drama,A hearing-impaired man fights a corrupt president.,"Ram Charan, Samantha",Sukumar,285
Vinaya Vidheya Rama,Action Drama,A man protects his family from enemies.,"Ram Charan, Kiara Advani",Boyapati Srinu,286
Acharya,Action Drama,A naxal-fighting story in a temple town.,"Chiranjeevi, Ram Charan",Koratala Siva,287
Game Changer,Political Thriller,A man fights corruption through systemic reforms.,"Ram Charan, Kiara Advani",Shankar,288
Athadu,Action Thriller,A hitman becomes part of a family accidentally.,"Mahesh Babu, Trisha",Trivikram,289
Pokiri,Action Thriller,An undercover cop infiltrates the mafia.,"Mahesh Babu, Ileana",Puri Jagannadh,290
Dookudu,Action Comedy,A cop investigates a politician’s crimes.,"Mahesh Babu, Samantha",Srinu Vaitla,291
Businessman,Action Thriller,A man rises as a mafia don in Mumbai.,"Mahesh Babu, Kajal",Puri Jagannadh,292
Khaleja,Action Comedy,A taxi driver becomes a village’s savior.,"Mahesh Babu, Anushka",Trivikram,293
Okkadu,Action Drama,A kabaddi player saves a girl from a faction leader.,"Mahesh Babu, Bhumika",Gunasekhar,294
Murari,Fantasy Drama,A man cursed by family deity fights fate.,"Mahesh Babu, Sonali Bendre",Krishna Vamsi,295
Nijam,Action Drama,A man avenges his father’s death.,"Mahesh Babu, Rakshita",Teja,296
Takkari Donga,Western Adventure,A cowboy thief fights for justice.,"Mahesh Babu, Lisa Ray",Jayant C. Paranjee,297
Sarileru Neekevvaru,Action Comedy,An army major protects a family from a minister.,"Mahesh Babu, Rashmika",Anil Ravipudi,298
Maharshi,Action Drama,A successful businessman reconnects with his roots.,"Mahesh Babu, Pooja Hegde",Vamsi Paidipally,299
Spyder,Action Thriller,A techie fights a psychopathic criminal.,"Mahesh Babu, Rakul",AR Murugadoss,300
